,id,gene_i,gene_j,type,coef.est,pval
1614,1614,361,426,interaction,148.602998719366,0.0838873090025963
613,613,659,NA,main,-13.6179687594483,0.0839092492819956
1358,1358,224,231,interaction,-131.200339144438,0.0839173232780689
368,368,398,NA,main,38.1801746010643,0.0839598818778367
1099,1099,135,253,interaction,26.8033351654674,0.0839793322316416
940,940,87,586,interaction,-77.5430196663259,0.0841298915286282
515,515,555,NA,main,11.9265621302592,0.0844942552306046
1390,1390,239,521,interaction,-20.3159852640919,0.0845261540575225
1158,1158,148,494,interaction,-35.004007577798,0.0846786013825779
811,811,49,58,interaction,-10.3572052803102,0.0847431352030557
1557,1557,332,536,interaction,-29.6424900092651,0.0847760415184328
559,559,603,NA,main,-25.0812322829387,0.0847919406085888
1641,1641,385,428,interaction,-42.9316636325604,0.0848772640087571
303,303,328,NA,main,96.004073118547,0.0850563196048023
117,117,126,NA,main,42.4366758779321,0.0850597227296314
934,934,86,186,interaction,55.4510270366331,0.0852399107103428
456,456,493,NA,main,-60.8097041240742,0.0854165459999445
56,56,58,NA,main,8.58239700441811,0.0854302384953849
1151,1151,147,474,interaction,-23.6823405487595,0.0856693596445545
9,9,9,NA,main,7.75407381349886,0.0858855257855836
1284,1284,196,593,interaction,34.3252475927058,0.0859084345189063
463,463,500,NA,main,3.65366116318133,0.0861520089449378
1524,1524,310,512,interaction,54.3589273120639,0.0861760026733156
1324,1324,212,224,interaction,80.5650864825638,0.0863420235708964
1406,1406,248,489,interaction,-38.8399423174343,0.0864560382149335
529,529,570,NA,main,-111.22980177209,0.086501133235669
1224,1224,172,600,interaction,-51.8477063159767,0.0865114996565315
1474,1474,286,585,interaction,203.142279788516,0.0866821302454117
1636,1636,380,523,interaction,-326.548501642521,0.0868335778953959
1629,1629,374,401,interaction,-23.4805068043102,0.0869260862978819
443,443,479,NA,main,22.1128562194581,0.0869276202600533
1480,1480,287,556,interaction,-17.819270910814,0.0869511754520633
1414,1414,251,521,interaction,20.1518789370823,0.0870837007145298
29,29,29,NA,main,-30.3550051937305,0.0871082390758646
557,557,601,NA,main,53.8250638628521,0.0871120803884165
93,93,99,NA,main,-45.0253759022422,0.0871817593632568
1533,1533,321,431,interaction,-23.5193892415593,0.0871986147151248
1056,1056,124,348,interaction,-20.1010124432684,0.0872751103151407
1657,1657,396,398,interaction,44.1700215193339,0.0872835697473145
870,870,67,155,interaction,56.919958391364,0.0873197472902953
943,943,88,249,interaction,-24.9632902126656,0.0873769616643511
1591,1591,352,405,interaction,18.3547456653664,0.0874570973753572
1164,1164,150,493,interaction,127.032194319054,0.0875022157750816
244,244,262,NA,main,7.77291424385242,0.0875249789472584
851,851,59,412,interaction,-18.071615707628,0.0875342536409427
1071,1071,129,257,interaction,29.9294334409038,0.0875711717354971
216,216,231,NA,main,67.37525800568,0.0876129038236665
969,969,100,188,interaction,-33.2168422176443,0.087733234647617
428,428,464,NA,main,21.8332524949046,0.0877530524027662
801,801,48,238,interaction,47.7060087055867,0.0879161268959873
1616,1616,361,549,interaction,-68.1409535099065,0.088001671371675
1644,1644,386,634,interaction,31.3312435445544,0.0880044246638422
845,845,58,84,interaction,11.984175755488,0.0880259489265873
533,533,574,NA,main,-12.8333531849248,0.0880385906670215
1416,1416,252,450,interaction,-25.702010030377,0.0880951914240951
571,571,615,NA,main,27.0176444682273,0.0881507535225523
1559,1559,332,653,interaction,-48.5534408255393,0.0882152945194402
1010,1010,113,338,interaction,-42.4018896632327,0.0882906821251857
1281,1281,196,328,interaction,-52.3488489946623,0.0883011251731345
356,356,384,NA,main,-33.9325125362903,0.0883940617860908
103,103,110,NA,main,-21.2376915141318,0.0884353591517267
233,233,249,NA,main,6.12149363897034,0.088460343328029
570,570,614,NA,main,27.2492881193915,0.0885720147146132
1387,1387,239,259,interaction,21.9064914008208,0.0885870496798995
82,82,87,NA,main,49.3036675055772,0.088651642317371
1117,1117,137,392,interaction,-94.3371669820727,0.0888295956885473
42,42,43,NA,main,23.1014006352129,0.088854272452467
1058,1058,126,372,interaction,258.576986327808,0.0889825185240931
